caseid,time,activity
1,104,arrival
1,104,join_queue
1,104,begin_service
2,119,arrival
2,119,join_queue
1,164,end_service
2,164,begin_service
3,166,arrival
3,166,join_queue
4,178,arrival
4,178,join_queue
5,211,arrival
5,211,join_queue
2,224,end_service
3,224,begin_service
6,267,arrival
6,267,join_queue
3,305,end_service
4,305,begin_service
7,329,arrival
7,329,join_queue
8,417,arrival
8,417,join_queue
9,437,arrival
9,437,join_queue
10,469,arrival
10,469,join_queue
11,493,arrival
11,493,renege
12,520,arrival
12,520,renege
13,542,arrival
13,542,renege
14,594,arrival
14,594,renege
4,598,end_service
5,598,begin_service
15,601,arrival
15,601,renege
5,658,end_service
6,658,begin_service
16,716,arrival
16,716,renege
6,718,end_service
7,718,begin_service
17,756,arrival
17,756,renege
18,811,arrival
18,811,renege
7,814,end_service
8,814,begin_service
19,845,arrival
19,845,renege
8,891,end_service
9,891,begin_service
20,966,arrival
20,966,renege
9,984,end_service
10,984,begin_service
21,1006,arrival
21,1006,renege
10,1044,end_service
11,1044,begin_service
22,1058,arrival
22,1058,renege
23,1105,arrival
23,1105,renege
11,1180,end_service
12,1180,begin_service
24,1251,arrival
24,1251,renege
25,1325,arrival
25,1325,renege
26,1331,arrival
26,1331,renege
12,1363,end_service
13,1363,begin_service
13,1423,end_service
14,1423,begin_service
14,1483,end_service
15,1483,begin_service
27,1514,arrival
27,1514,renege
15,1543,end_service
16,1543,begin_service
28,1554,arrival
28,1554,renege
16,1603,end_service
17,1603,begin_service
29,1615,arrival
29,1615,renege
30,1703,arrival
30,1703,renege
31,1720,arrival
31,1720,renege
17,1730,end_service
32,1730,arrival
32,1730,renege
18,1730,begin_service
18,1790,end_service
19,1790,begin_service
33,1871,arrival
33,1871,renege
19,1894,end_service
20,1894,begin_service
34,1912,arrival
34,1912,renege
35,1954,arrival
35,1954,renege
36,2021,arrival
36,2021,renege
37,2056,arrival
37,2056,renege
38,2059,arrival
38,2059,renege
20,2103,end_service
21,2103,begin_service
39,2151,arrival
39,2151,renege
40,2159,arrival
40,2159,renege
41,2161,arrival
41,2161,renege
42,2218,arrival
42,2218,renege
43,2220,arrival
43,2220,renege
44,2347,arrival
44,2347,renege
21,2403,end_service
22,2403,begin_service
45,2499,arrival
45,2499,renege
46,2548,arrival
46,2548,renege
47,2562,arrival
47,2562,renege
22,2606,end_service
23,2606,begin_service
48,2622,arrival
48,2622,renege
49,2639,arrival
49,2639,renege
50,2662,arrival
50,2662,renege
51,2664,arrival
51,2664,renege
23,2666,end_service
24,2666,begin_service
52,2713,arrival
52,2713,renege
53,2725,arrival
53,2725,renege
54,2745,arrival
54,2745,renege
55,2753,arrival
55,2753,renege
24,2761,end_service
25,2761,begin_service
56,2779,arrival
56,2779,renege
57,2817,arrival
57,2817,renege
25,2821,end_service
26,2821,begin_service
58,2872,arrival
58,2872,renege
26,2881,end_service
27,2881,begin_service
59,2895,arrival
59,2895,renege
60,2910,arrival
60,2910,renege
27,2941,end_service
28,2941,begin_service
28,3001,end_service
29,3001,begin_service
61,3055,arrival
61,3055,renege
29,3075,end_service
30,3075,begin_service
62,3093,arrival
62,3093,renege
63,3126,arrival
63,3126,renege
30,3135,end_service
31,3135,begin_service
64,3163,arrival
64,3163,renege
31,3221,end_service
32,3221,begin_service
65,3266,arrival
65,3266,renege
66,3346,arrival
66,3346,renege
67,3381,arrival
67,3381,renege
68,3404,arrival
68,3404,renege
69,3419,arrival
69,3419,renege
70,3421,arrival
70,3421,renege
32,3441,end_service
33,3441,begin_service
71,3459,arrival
71,3459,renege
72,3459,arrival
72,3459,renege
33,3501,end_service
34,3501,begin_service
73,3551,arrival
73,3551,renege
74,3551,arrival
74,3551,renege
34,3584,end_service
75,3584,arrival
75,3584,renege
35,3584,begin_service
76,3589,arrival
76,3589,renege
77,3661,arrival
77,3661,renege
35,3678,end_service
36,3678,begin_service
78,3691,arrival
78,3691,renege
79,3699,arrival
79,3699,renege
36,3767,end_service
37,3767,begin_service
80,3847,arrival
80,3847,renege
81,3901,arrival
81,3901,renege
82,3957,arrival
82,3957,renege
83,3984,arrival
83,3984,renege
37,4030,end_service
38,4030,begin_service
84,4045,arrival
84,4045,renege
85,4055,arrival
85,4055,renege
86,4064,arrival
86,4064,renege
38,4090,end_service
39,4090,begin_service
87,4190,arrival
87,4190,renege
39,4238,end_service
40,4238,begin_service
88,4281,arrival
88,4281,renege
40,4298,end_service
41,4298,begin_service
89,4313,arrival
89,4313,renege
90,4330,arrival
90,4330,renege
41,4358,end_service
42,4358,begin_service
91,4360,arrival
91,4360,renege
92,4395,arrival
92,4395,renege
93,4455,arrival
93,4455,renege
42,4478,end_service
43,4478,begin_service
94,4497,arrival
94,4497,renege
95,4535,arrival
95,4535,renege
43,4569,end_service
44,4569,begin_service
96,4583,arrival
96,4583,renege
44,4629,end_service
45,4629,begin_service
97,4675,arrival
97,4675,renege
45,4720,end_service
46,4720,begin_service
98,4727,arrival
98,4727,renege
99,4796,arrival
99,4796,renege
100,4833,arrival
100,4833,renege
101,4858,arrival
101,4858,renege
102,4887,arrival
102,4887,renege
46,4927,end_service
47,4927,begin_service
47,4987,end_service
48,4987,begin_service
103,5033,arrival
103,5033,renege
104,5043,arrival
104,5043,renege
105,5087,arrival
105,5087,renege
48,5090,end_service
49,5090,begin_service
106,5133,arrival
106,5133,renege
49,5150,end_service
50,5150,begin_service
107,5183,arrival
107,5183,renege
50,5229,end_service
51,5229,begin_service
108,5230,arrival
108,5230,renege
109,5245,arrival
109,5245,renege
110,5261,arrival
110,5261,renege
111,5519,arrival
111,5519,renege
51,5529,end_service
52,5529,begin_service
112,5532,arrival
112,5532,renege
113,5580,arrival
113,5580,renege
52,5642,end_service
53,5642,begin_service
114,5669,arrival
114,5669,renege
53,5702,end_service
54,5702,begin_service
115,5729,arrival
115,5729,renege
116,5751,arrival
116,5751,renege
54,5762,end_service
55,5762,begin_service
55,5825,end_service
56,5825,begin_service
117,5854,arrival
117,5854,renege
56,5885,end_service
57,5885,begin_service
57,5945,end_service
58,5945,begin_service
58,6005,end_service
59,6005,begin_service
118,6015,arrival
118,6015,renege
119,6016,arrival
119,6016,renege
120,6035,arrival
120,6035,renege
121,6052,arrival
121,6052,renege
59,6065,end_service
60,6065,begin_service
122,6082,arrival
122,6082,renege
123,6093,arrival
123,6093,renege
124,6224,arrival
124,6224,renege
60,6229,end_service
61,6229,begin_service
125,6249,arrival
125,6249,renege
126,6261,arrival
126,6261,renege
127,6265,arrival
127,6265,renege
128,6291,arrival
128,6291,renege
129,6327,arrival
129,6327,renege
61,6394,end_service
62,6394,begin_service
130,6496,arrival
130,6496,renege
131,6566,arrival
131,6566,renege
132,6578,arrival
132,6578,renege
62,6585,end_service
63,6585,begin_service
133,6663,arrival
133,6663,renege
134,6688,arrival
134,6688,renege
135,6689,arrival
135,6689,renege
136,6774,arrival
136,6774,renege
63,6800,end_service
64,6800,begin_service
64,6860,end_service
65,6860,begin_service
137,6891,arrival
137,6891,renege
138,6920,arrival
138,6920,renege
139,6965,arrival
139,6965,renege
140,6966,arrival
140,6966,renege
141,7021,arrival
141,7021,renege
142,7059,arrival
142,7059,renege
143,7088,arrival
143,7088,renege
144,7154,arrival
144,7154,renege
65,7160,end_service
66,7160,begin_service
145,7182,arrival
145,7182,renege
146,7199,arrival
146,7199,renege
147,7202,arrival
147,7202,renege
148,7214,arrival
148,7214,renege
149,7332,arrival
149,7332,renege
150,7350,arrival
150,7350,renege
66,7451,end_service
67,7451,begin_service
67,7569,end_service
68,7569,begin_service
151,7642,arrival
151,7642,renege
152,7698,arrival
152,7698,renege
153,7720,arrival
153,7720,renege
68,7783,end_service
69,7783,begin_service
154,7787,arrival
154,7787,renege
155,7880,arrival
155,7880,renege
69,8012,end_service
70,8012,begin_service
156,8061,arrival
156,8061,renege
70,8072,end_service
71,8072,begin_service
157,8093,arrival
157,8093,renege
71,8132,end_service
72,8132,begin_service
72,8192,end_service
73,8192,begin_service
158,8228,arrival
158,8228,renege
159,8244,arrival
159,8244,renege
160,8314,arrival
160,8314,renege
161,8343,arrival
161,8343,renege
162,8410,arrival
162,8410,renege
163,8447,arrival
163,8447,renege
164,8451,arrival
164,8451,renege
73,8492,end_service
74,8492,begin_service
165,8522,arrival
165,8522,renege
166,8543,arrival
166,8543,renege
167,8566,arrival
167,8566,renege
168,8620,arrival
168,8620,renege
74,8653,end_service
75,8653,begin_service
169,8705,arrival
169,8705,renege
170,8708,arrival
170,8708,renege
171,8722,arrival
171,8722,renege
75,8730,end_service
76,8730,begin_service
172,8775,arrival
172,8775,renege
173,8811,arrival
173,8811,renege
76,8842,end_service
77,8842,begin_service
174,8868,arrival
174,8868,renege
77,8902,end_service
78,8902,begin_service
175,8920,arrival
175,8920,renege
176,8959,arrival
176,8959,renege
78,8962,end_service
79,8962,begin_service
177,8965,arrival
177,8965,renege
178,9007,arrival
178,9007,renege
179,9010,arrival
179,9010,renege
79,9022,end_service
80,9022,begin_service
180,9032,arrival
180,9032,renege
181,9080,arrival
181,9080,renege
182,9127,arrival
182,9127,renege
183,9177,arrival
183,9177,renege
184,9183,arrival
184,9183,renege
80,9198,end_service
81,9198,begin_service
185,9242,arrival
185,9242,renege
186,9269,arrival
186,9269,renege
81,9307,end_service
82,9307,begin_service
187,9376,arrival
187,9376,renege
188,9393,arrival
188,9393,renege
82,9455,end_service
83,9455,begin_service
189,9616,arrival
189,9616,renege
190,9641,arrival
190,9641,renege
191,9644,arrival
191,9644,renege
192,9649,arrival
192,9649,renege
83,9691,end_service
84,9691,begin_service
193,9738,arrival
193,9738,renege
84,9751,end_service
85,9751,begin_service
85,9811,end_service
86,9811,begin_service
194,9867,arrival
194,9867,renege
195,9960,arrival
195,9960,renege
196,9971,arrival
196,9971,renege
86,9996,end_service
87,9996,begin_service
197,10018,arrival
197,10018,renege
198,10038,arrival
198,10038,renege
199,10162,arrival
199,10162,renege
200,10165,arrival
200,10165,renege
201,10169,arrival
201,10169,renege
202,10186,arrival
202,10186,renege
203,10228,arrival
203,10228,renege
204,10243,arrival
204,10243,renege
87,10261,end_service
88,10261,begin_service
205,10352,arrival
205,10352,renege
88,10475,end_service
89,10475,begin_service
206,10483,arrival
206,10483,renege
89,10535,end_service
90,10535,begin_service
207,10553,arrival
207,10553,renege
208,10554,arrival
208,10554,renege
209,10611,arrival
209,10611,renege
90,10675,end_service
91,10675,begin_service
210,10714,arrival
210,10714,renege
211,10714,arrival
211,10714,renege
91,10735,end_service
92,10735,begin_service
92,10795,end_service
93,10795,begin_service
93,10912,end_service
94,10912,begin_service
212,10972,arrival
94,10972,end_service
212,10972,renege
95,10972,begin_service
213,11001,arrival
213,11001,renege
95,11032,end_service
96,11032,begin_service
96,11101,end_service
97,11101,begin_service
214,11113,arrival
214,11113,renege
215,11144,arrival
215,11144,renege
97,11161,end_service
98,11161,begin_service
216,11173,arrival
216,11173,renege
98,11221,end_service
99,11221,begin_service
217,11300,arrival
217,11300,renege
218,11358,arrival
218,11358,renege
99,11359,end_service
100,11359,begin_service
219,11391,arrival
219,11391,renege
100,11419,end_service
101,11419,begin_service
220,11445,arrival
220,11445,renege
221,11503,arrival
221,11503,renege
101,11570,end_service
102,11570,begin_service
222,11629,arrival
222,11629,renege
223,11634,arrival
223,11634,renege
224,11660,arrival
224,11660,renege
102,11688,end_service
103,11688,begin_service
103,11748,end_service
104,11748,begin_service
225,11752,arrival
225,11752,renege
226,11783,arrival
226,11783,renege
104,11834,end_service
105,11834,begin_service
227,11838,arrival
227,11838,renege
228,11869,arrival
228,11869,renege
229,11942,arrival
229,11942,renege
105,11949,end_service
106,11949,begin_service
230,11982,arrival
230,11982,renege
