caseid,time,activity
1,1040,arrival
1,1040,join_queue
1,1040,begin_service
1,1100,end_service
2,1188,arrival
2,1188,join_queue
2,1188,begin_service
2,1248,end_service
3,1662,arrival
3,1662,join_queue
3,1662,begin_service
3,1722,end_service
4,1786,arrival
4,1786,join_queue
4,1786,begin_service
4,1847,end_service
5,2344,arrival
5,2344,join_queue
5,2344,begin_service
5,2524,end_service
6,2964,arrival
6,2964,join_queue
6,2964,begin_service
6,3024,end_service
7,3849,arrival
7,3849,join_queue
7,3849,begin_service
7,3909,end_service
8,4171,arrival
8,4171,join_queue
8,4171,begin_service
8,4231,end_service
9,4445,arrival
9,4445,join_queue
9,4445,begin_service
9,4505,end_service
10,4966,arrival
10,4966,join_queue
10,4966,begin_service
10,5138,end_service
11,5203,arrival
11,5203,join_queue
11,5203,begin_service
11,5263,end_service
12,5312,arrival
12,5312,join_queue
12,5312,begin_service
12,5395,end_service
13,5792,arrival
13,5792,join_queue
13,5792,begin_service
13,5852,end_service
14,6135,arrival
14,6135,join_queue
14,6135,begin_service
14,6204,end_service
15,7341,arrival
15,7341,join_queue
15,7341,begin_service
15,7401,end_service
16,7739,arrival
16,7739,join_queue
16,7739,begin_service
16,7841,end_service
17,8263,arrival
17,8263,join_queue
17,8263,begin_service
17,8443,end_service
18,8735,arrival
18,8735,join_queue
18,8735,begin_service
18,8847,end_service
19,9650,arrival
19,9650,join_queue
19,9650,begin_service
20,9708,arrival
20,9708,join_queue
19,9830,end_service
20,9830,begin_service
21,9860,arrival
21,9860,join_queue
20,9890,end_service
21,9890,begin_service
22,9900,arrival
22,9900,join_queue
23,9909,arrival
23,9909,join_queue
21,9950,end_service
22,9950,begin_service
22,10045,end_service
23,10045,begin_service
23,10176,end_service
24,10514,arrival
24,10514,join_queue
24,10514,begin_service
24,10574,end_service
25,10686,arrival
25,10686,join_queue
25,10686,begin_service
25,10746,end_service
26,12095,arrival
26,12095,join_queue
26,12095,begin_service
26,12156,end_service
27,12616,arrival
27,12616,join_queue
27,12616,begin_service
27,12679,end_service
28,13660,arrival
28,13660,join_queue
28,13660,begin_service
28,13720,end_service
29,14327,arrival
29,14327,join_queue
29,14327,begin_service
30,14358,arrival
30,14358,join_queue
29,14465,end_service
30,14465,begin_service
30,14525,end_service
31,16626,arrival
31,16626,join_queue
31,16626,begin_service
32,16641,arrival
32,16641,join_queue
33,16664,arrival
33,16664,join_queue
31,16711,end_service
32,16711,begin_service
32,16891,end_service
33,16891,begin_service
33,17044,end_service
34,17932,arrival
34,17932,join_queue
34,17932,begin_service
34,17992,end_service
35,18423,arrival
35,18423,join_queue
35,18423,begin_service
35,18483,end_service
36,19024,arrival
36,19024,join_queue
36,19024,begin_service
36,19084,end_service
37,19190,arrival
37,19190,join_queue
37,19190,begin_service
38,19214,arrival
38,19214,join_queue
37,19263,end_service
38,19263,begin_service
38,19323,end_service
39,19690,arrival
39,19690,join_queue
39,19690,begin_service
39,19750,end_service
40,19886,arrival
40,19886,join_queue
40,19886,begin_service
40,19946,end_service
41,20144,arrival
41,20144,join_queue
41,20144,begin_service
41,20226,end_service
42,20526,arrival
42,20526,join_queue
42,20526,begin_service
42,20586,end_service
43,20792,arrival
43,20792,join_queue
43,20792,begin_service
43,20852,end_service
44,21061,arrival
44,21061,join_queue
44,21061,begin_service
44,21121,end_service
45,22513,arrival
45,22513,join_queue
45,22513,begin_service
45,22573,end_service
46,22884,arrival
46,22884,join_queue
46,22884,begin_service
46,22944,end_service
47,23020,arrival
47,23020,join_queue
47,23020,begin_service
47,23085,end_service
48,23386,arrival
48,23386,join_queue
48,23386,begin_service
48,23551,end_service
49,24413,arrival
49,24413,join_queue
49,24413,begin_service
49,24473,end_service
50,25211,arrival
50,25211,join_queue
50,25211,begin_service
50,25271,end_service
51,25441,arrival
51,25441,join_queue
51,25441,begin_service
52,25460,arrival
52,25460,join_queue
51,25501,end_service
52,25501,begin_service
52,25561,end_service
53,25605,arrival
53,25605,join_queue
53,25605,begin_service
53,25667,end_service
54,26526,arrival
54,26526,join_queue
54,26526,begin_service
55,26531,arrival
55,26531,join_queue
56,26584,arrival
56,26584,join_queue
54,26586,end_service
55,26586,begin_service
55,26695,end_service
56,26695,begin_service
56,26755,end_service
57,27055,arrival
57,27055,join_queue
57,27055,begin_service
57,27115,end_service
58,27502,arrival
58,27502,join_queue
58,27502,begin_service
58,27682,end_service
59,28978,arrival
59,28978,join_queue
59,28978,begin_service
59,29063,end_service
60,29519,arrival
60,29519,join_queue
60,29519,begin_service
60,29610,end_service
61,29788,arrival
61,29788,join_queue
61,29788,begin_service
62,29804,arrival
62,29804,join_queue
61,29848,end_service
62,29848,begin_service
63,29890,arrival
63,29890,join_queue
62,30028,end_service
63,30028,begin_service
63,30165,end_service
64,30632,arrival
64,30632,join_queue
64,30632,begin_service
65,30635,arrival
65,30635,join_queue
66,30651,arrival
66,30651,join_queue
64,30692,end_service
65,30692,begin_service
65,30752,end_service
66,30752,begin_service
67,30817,arrival
67,30817,join_queue
66,30842,end_service
67,30842,begin_service
67,30931,end_service
68,31162,arrival
68,31162,join_queue
68,31162,begin_service
68,31230,end_service
69,31584,arrival
69,31584,join_queue
69,31584,begin_service
69,31657,end_service
70,31963,arrival
70,31963,join_queue
70,31963,begin_service
70,32101,end_service
71,32168,arrival
71,32168,join_queue
71,32168,begin_service
71,32245,end_service
72,32622,arrival
72,32622,join_queue
72,32622,begin_service
72,32725,end_service
73,33655,arrival
73,33655,join_queue
73,33655,begin_service
73,33715,end_service
74,34030,arrival
74,34030,join_queue
74,34030,begin_service
74,34210,end_service
75,34325,arrival
75,34325,join_queue
75,34325,begin_service
75,34402,end_service
76,34423,arrival
76,34423,join_queue
76,34423,begin_service
76,34489,end_service
77,34528,arrival
77,34528,join_queue
77,34528,begin_service
77,34588,end_service
78,34986,arrival
78,34986,join_queue
78,34986,begin_service
78,35046,end_service
79,35482,arrival
79,35482,join_queue
79,35482,begin_service
79,35662,end_service
80,35957,arrival
80,35957,join_queue
80,35957,begin_service
