caseid,time,activity
1,416,arrival
1,416,join_queue
1,416,begin_service
2,475,arrival
2,475,join_queue
2,475,begin_service
1,476,end_service
2,535,end_service
3,664,arrival
3,664,join_queue
3,664,begin_service
4,714,arrival
4,714,join_queue
4,714,begin_service
3,730,end_service
4,795,end_service
5,937,arrival
5,937,join_queue
5,937,begin_service
6,1185,arrival
6,1185,join_queue
6,1185,begin_service
5,1230,end_service
6,1245,end_service
7,1539,arrival
7,1539,join_queue
7,1539,begin_service
7,1599,end_service
8,1668,arrival
8,1668,join_queue
8,1668,begin_service
8,1728,end_service
9,1777,arrival
9,1777,join_queue
9,1777,begin_service
9,1837,end_service
10,1985,arrival
10,1985,join_queue
10,1985,begin_service
11,2080,arrival
11,2080,join_queue
11,2080,begin_service
12,2124,arrival
12,2124,join_queue
12,2124,begin_service
11,2159,end_service
10,2215,end_service
12,2235,end_service
13,2316,arrival
13,2316,join_queue
13,2316,begin_service
13,2393,end_service
14,2453,arrival
14,2453,join_queue
14,2453,begin_service
14,2546,end_service
15,2935,arrival
15,2935,join_queue
15,2935,begin_service
15,2995,end_service
16,3094,arrival
16,3094,join_queue
16,3094,begin_service
16,3230,end_service
17,3304,arrival
17,3304,join_queue
17,3304,begin_service
18,3493,arrival
18,3493,join_queue
18,3493,begin_service
17,3597,end_service
18,3642,end_service
19,3859,arrival
19,3859,join_queue
19,3859,begin_service
20,3882,arrival
20,3882,join_queue
20,3882,begin_service
20,3942,end_service
21,3943,arrival
21,3943,join_queue
21,3943,begin_service
22,3959,arrival
22,3959,join_queue
22,3959,begin_service
23,3963,arrival
23,3963,join_queue
21,4023,end_service
23,4023,begin_service
22,4080,end_service
19,4159,end_service
23,4198,end_service
24,4217,arrival
24,4217,join_queue
24,4217,begin_service
24,4277,end_service
25,4286,arrival
25,4286,join_queue
25,4286,begin_service
25,4346,end_service
26,4850,arrival
26,4850,join_queue
26,4850,begin_service
26,4932,end_service
27,5058,arrival
27,5058,join_queue
27,5058,begin_service
27,5142,end_service
28,5476,arrival
28,5476,join_queue
28,5476,begin_service
28,5547,end_service
29,5743,arrival
29,5743,join_queue
29,5743,begin_service
30,5755,arrival
30,5755,join_queue
30,5755,begin_service
30,5815,end_service
29,5928,end_service
31,6662,arrival
31,6662,join_queue
31,6662,begin_service
32,6668,arrival
32,6668,join_queue
32,6668,begin_service
33,6677,arrival
33,6677,join_queue
33,6677,begin_service
31,6776,end_service
33,6880,end_service
32,6922,end_service
34,7285,arrival
34,7285,join_queue
34,7285,begin_service
34,7345,end_service
35,7481,arrival
35,7481,join_queue
35,7481,begin_service
35,7541,end_service
36,7721,arrival
36,7721,join_queue
36,7721,begin_service
36,7781,end_service
37,7788,arrival
37,7788,join_queue
37,7788,begin_service
38,7798,arrival
38,7798,join_queue
38,7798,begin_service
38,7858,end_service
37,7886,end_service
39,7988,arrival
39,7988,join_queue
39,7988,begin_service
39,8048,end_service
40,8066,arrival
40,8066,join_queue
40,8066,begin_service
40,8126,end_service
41,8169,arrival
41,8169,join_queue
41,8169,begin_service
41,8278,end_service
42,8322,arrival
42,8322,join_queue
42,8322,begin_service
42,8382,end_service
43,8428,arrival
43,8428,join_queue
43,8428,begin_service
43,8488,end_service
44,8535,arrival
44,8535,join_queue
44,8535,begin_service
44,8595,end_service
45,9116,arrival
45,9116,join_queue
45,9116,begin_service
45,9191,end_service
46,9264,arrival
46,9264,join_queue
46,9264,begin_service
47,9319,arrival
47,9319,join_queue
47,9319,begin_service
46,9330,end_service
47,9405,end_service
48,9466,arrival
48,9466,join_queue
48,9466,begin_service
48,9686,end_service
49,9877,arrival
49,9877,join_queue
49,9877,begin_service
49,9946,end_service
50,10196,arrival
50,10196,join_queue
50,10196,begin_service
50,10256,end_service
51,10288,arrival
51,10288,join_queue
51,10288,begin_service
52,10295,arrival
52,10295,join_queue
52,10295,begin_service
53,10353,arrival
53,10353,join_queue
53,10353,begin_service
52,10355,end_service
51,10363,end_service
53,10436,end_service
54,10721,arrival
54,10721,join_queue
54,10721,begin_service
55,10723,arrival
