artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,language,user_name,played_at
Red Velvet,Mosquito,43y2u5KxBknQ9lQ2ILT1Eo,43,2018,pop edm,0.7559999999999999,0.851,5,-4.323,0,0.0475,0.0817,1.15e-05,0.187,0.551,96.057,191147,Korean,SongJung,2025-02-13T11:50:48.7254Z
Quintino,TUTUTU,77TREPmAx47En5ZuzieLCw,49,2019,big room,0.7709999999999999,0.95,8,-2.74,1,0.036,0.0195,0.375,0.064,0.213,128.036,160508,Vietnamese,SongJung,2025-02-12T17:26:24.7254Z
MOMOLAND,BAAM,4Is1b37KJY9XVCgzp81FBW,66,2018,dance pop,0.725,0.94,5,-2.32,0,0.0435,0.115,0.00431,0.0864,0.905,127.051,208475,Korean,SongJung,2025-02-12T02:00:25.7254Z
Karma,Karmasutra,0T0AY7kzqXBiMuHvI7I3j4,42,2019,hip hop,0.913,0.763,6,-5.218999999999999,0,0.222,0.142,0.0,0.115,0.313,140.029,168000,Indonesian,SongJung,2025-02-11T18:51:00.7254Z
TAEYEON,Circus,1HVjqP22I8rGY1gyEqrEuy,53,2018,pop edm,0.75,0.473,1,-6.9060000000000015,1,0.0427,0.669,0.0,0.103,0.337,108.016,234027,Korean,SongJung,2025-02-11T15:44:58.7254Z
SHAUN,Way Back Home,3NxuezMdSLgt4OwHzBoUhL,66,2018,dance pop,0.745,0.7390000000000001,10,-4.591,1,0.0327,0.405,0.000183,0.127,0.556,99.913,214137,Korean,SongJung,2025-02-10T19:14:56.7254Z
Rain,GANG,0EPNX66SAKHx2wKS9txaof,34,2017,pop edm,0.762,0.799,9,-4.713,1,0.163,0.038,0.0,0.0938,0.617,150.04,188902,Korean,SongJung,2025-02-10T14:22:21.7254Z
Dada Life,Table Flipping Machine,2qok2YhVi0CIQ8IGEMKrTt,38,2019,big room,0.6459999999999999,0.904,7,-5.871,1,0.0538,0.000565,0.745,0.0947,0.364,127.947,177209,Vietnamese,SongJung,2025-02-09T20:34:55.7254Z
SHAUN,Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,1ZLrDPgR7mvuTco3rQK8Pk,77,2018,progressive electro house,0.737,0.747,10,-4.8180000000000005,1,0.0323,0.269,0.0,0.219,0.447,105.943,192453,Korean,SongJung,2025-02-09T16:44:40.7254Z
Showtek,We Like To Party,2X0q5QBDUzwLa7O7AwWBzQ,1,2014,big room,0.5870000000000001,0.905,11,-4.655,0,0.0419,0.000211,0.942,0.104,0.187,127.982,280990,Indonesian,SongJung,2025-02-09T08:42:46.7254Z
